Country,Year,Emissions.Type.CO2,Emissions.Type.N2O,Emissions.Type.CH4,Emissions.Sector.Power Industry,Emissions.Sector.Buildings,Emissions.Sector.Transport,Emissions.Sector.Other Industry,Emissions.Sector.Other sectors,Ratio.Per GDP,Ratio.Per Capita
China,1970,139000,967000,957000,129.83,218.89,45.46,386.01,125.52,2.501552,5.019012
China,1971,143000,1010000,961000,129.83,218.89,45.46,386.01,129.31,2.496497,4.572874
China,1972,148000,1020000,1020000,140.16,232.02,50.12,409.09,139.09,2.535285,4.428629
China,1973,155000,1020000,1070000,150.91,238.01,54.41,420.82,146.81,2.536448,4.544377
China,1974,154000,1030000,1080000,147.72,238.78,58.85,436.38,147.35,2.510915,4.286705
China,1975,164000,1060000,1240000,176.13,277.62,65.91,509.66,150.13,2.670635,4.60161
China,1976,171000,1060000,1280000,181.83,282.01,66.91,540.58,155.47,2.689324,4.478285
China,1977,186000,1070000,1440000,205.15,318.62,74.12,615.02,166.26,2.836789,4.853795
China,1978,200000,1070000,1630000,269.58,342.29,80.63,679.29,183.6,3.00853,5.059154
China,1979,212000,1070000,1670000,294.75,349.87,83.7,667.85,197.03,3.014636,4.538451
China,1980,224000,1060000,1630000,310.09,326.36,79.05,648.33,195.38,2.935905,4.277455
China,1981,222000,1050000,1610000,309.51,343.76,79.85,623.51,189.12,2.857845,3.92038
China,1982,228000,1050000,1680000,319.34,355.81,84.01,654.28,202.8,2.898824,3.828509
China,1983,240000,1070000,1760000,334.54,373.76,89.08,687.6,216.44,2.965162,3.645385
China,1984,253000,1090000,1920000,364.69,403.23,95.2,755.72,236.67,3.096589,3.496893
China,1985,247000,1090000,1920000,393.03,422.91,97.95,711.84,245.13,3.045054,3.029915
China,1986,252000,1110000,2030000,424.44,435.27,106.21,743.41,267.5,3.106035,2.780179
China,1987,281000,1120000,2170000,473.59,452.69,111.14,792.82,285.14,3.210904,2.687688
China,1988,296000,1140000,2320000,529.45,484.62,117.78,840.63,303.4,3.311701,2.530821
China,1989,305000,1170000,2380000,577.68,478.37,122.31,863.28,313.28,3.342423,2.333808
China,1990,317000,1180000,2430000,639.2,498.41,107.04,831.35,321.04,3.349014,2.28157
China,1991,322000,1170000,2550000,704.11,499.74,114.33,869.04,345.06,3.401159,2.149202
China,1992,327000,1160000,2660000,780.4,470.8,125.3,905.14,383.17,3.444117,1.929559
China,1993,323000,1150000,2990000,890.48,486.26,140.64,968.7,403.82,3.666108,1.822567
China,1994,337000,1150000,3160000,966.37,469.14,130.44,1019.82,485.18,3.781945,1.678228
China,1995,384000,1200000,3450000,1058.49,490.61,140.81,1197.35,495.63,4.065348,1.63792
China,1996,393000,1210000,3520000,1208.35,384.53,188.71,1090.62,494.6,4.093882,1.516381
China,1997,375000,1180000,3530000,1189.02,451.89,165.66,1100.2,519.33,4.038858,1.377988
China,1998,382000,1170000,3600000,1259.25,404.87,161.6,1174.13,504.57,4.066966,1.294482
China,1999,397000,1170000,3540000,1295.18,417.51,178.4,1009.06,535.75,4.000638,1.192341
China,2000,393000,1170000,3800000,1426.84,354.53,263.57,1042.08,584.6,4.17995,1.154771
China,2001,394000,1170000,3940000,1506.57,363.7,269.77,1103.08,602.22,4.263087,1.094321
China,2002,418000,1180000,4230000,1686,379.09,292.61,1140.1,649.5,4.489778,1.062178
China,2003,417000,1220000,4910000,1996.1,419.47,331.28,1306.03,760.61,5.015678,1.084547
China,2004,440000,1300000,5690000,2203.91,478.14,387.37,1654.65,832.14,5.657545,1.118159
China,2005,466000,1400000,6430000,2511.75,505.71,413.23,1927.55,904.82,6.272171,1.121202
China,2006,497000,1460000,7090000,2837.41,529.69,450.13,2095.37,1050.57,6.805923,1.085029
China,2007,517000,1480000,7670000,3080.41,545.26,482.49,2360.87,1170.37,7.229909,1.01527
China,2008,525000,1500000,7850000,3068.41,530.37,520.39,2489.73,1198.15,7.350643,0.946071
China,2009,506000,1530000,8280000,3227.06,544.14,529.87,2725.63,1339.14,7.62434,0.904778
China,2010,504000,1580000,8810000,3619.98,572.97,581.55,2933.07,1417.24,8.01559,0.863651
China,2011,518000,1630000,9660000,4065.73,605.36,634.76,3160.86,1557.63,8.634322,0.855017
China,2012,522000,1660000,9920000,4154.02,630.86,698.39,3138.36,1634.75,8.797069,0.813274
